1234567890,,100
通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16
102.966,102.966,96.329,117.462,106.304,111.092,116.718,105.999,104.626,111.931,106.38,114.105,106.609,111.034,7.866,0.408
97.034,108.04,113.59,101.803,105.713,115.421,114.315,107.277,104.397,118.13,107.391,112.865,95.299,107.353,-4.818,6.569
115.345,108.288,123.833,112.331,98.77,120.819,101.879,109.947,105.732,114.525,111.206,101.841,102.108,99.857,19.291,11.642
107.315,117.844,109.909,119.884,106.953,101.65,98.846,78.362,102.28,102.184,104.702,117.653,104.683,99.514,-0.431,14.027
88.261,120.781,101.269,111.588,119.122,112.37,124.405,95.356,106.628,101.307,89.233,118.53,105.064,116.756,-7.813,11.452
110.233,105.713,99.133,103.577,109.547,108.822,130.032,113.209,112.35,112.179,105.961,104.816,114.105,120.705,2.983,24.193
92.781,117.443,108.25,103.271,97.931,96.672,133.312,106.724,114.544,115.612,102.146,119.789,113.056,114.01,1.095,31.46
107.658,106.056,94.517,109.871,102.261,101.173,109.28,113.38,108.402,121.716,110.615,118.53,117.748,120.59,19.386,0.923
111.53,113.552,96.825,102.852,103.195,103.271,108.917,115.154,106.19,110.1,120.724,104.797,114.811,117.214,0.713,9.01
84.37,93.678,105.389,107.048,85.171,109.165,113.705,112.103,110.462,125.797,104.988,110.271,102.852,121.239,4.166,6.416
96.786,107.849,77.656,113.934,122.097,93.811,116.528,111.664,113.361,118.931,106.152,123.108,115.688,121.696,1.4,7.961
98.064,104.359,119.026,104.225,116.013,110.195,112.274,128.983,107.43,113.953,105.675,108.116,117.348,101.154,-7.069,2.888
128.811,102.261,108.498,110.882,112.274,111.32,113.171,104.836,95.413,110.157,106.19,110.043,108.421,113.209,8.457,22.285
111.778,127.361,103.386,112.827,95.28,101.631,112.522,92.285,91.198,112.083,98.675,115.021,107.468,112.179,1.4,7.504
106.361,129.135,102.795,121.372,105.713,107.735,112.37,103.31,97.225,117.634,128.239,104.13,108.555,92.991,10.136,2.373
105.35,114.983,106.762,131.844,103.844,108.65,120.667,108.116,104.397,105.522,110.195,107.22,107.506,107.944,-1.251,16.697
106.724,106.457,106.285,123.775,95.299,101.231,108.765,110.844,110.386,113.972,105.77,128.181,104.092,113.705,6.989,6.264
102.699,115.631,101.65,100.945,117.882,112.789,113.953,106.19,109.337,114.563,114.01,114.391,104.988,117.195,1.343,9.01
96.214,94.746,122.898,111.835,98.885,114.41,115.746,116.661,107.01,139.511,105.446,117.062,123.47,103.5,18.7,-3.654
107.468,113.342,107.983,85.953,100.315,95.661,110.939,106.533,110.252,118.607,110.481,127.609,124.5,108.04,19.196,-9.567
111.664,102.68,103.004,111.797,83.95,101.955,127.342,120.399,107.277,123.871,110.31,106.724,112.007,106.915,-7.679,3.155
98.064,108.803,103.348,105.236,108.25,107.563,109.947,105.942,115.669,115.345,111.32,112.446,113.113,114.983,4.986,6.187
100.487,123.661,112.827,109.756,102.032,105.16,112.503,101.688,105.713,112.808,112.503,102.509,112.007,111.95,4.91,-0.221
116.547,102.413,96.348,126.141,111.32,105.961,111.568,102.261,106.495,114.201,107.944,105.56,103.119,109.203,8.686,3.899
112.789,110.939,116.718,101.326,116.508,110.538,116.432,108.955,104.168,113.876,105.35,98.56,103.348,104.988,6.512,2.144
112.16,102.795,106.094,124.901,106.094,112.331,117.271,109.451,104.511,115.974,105.503,103.539,101.746,105.656,10.841,-4.894
114.277,111.683,103.157,109.07,105.885,107.735,115.04,107.201,108.479,116.07,110.043,107.029,110.653,113.323,2.907,14.027
104.435,108.688,103.443,112.408,102.203,104.301,110.462,105.312,114.697,118.664,111.111,117.596,117.233,113.438,0.408,4.375
108.86,99.552,105.141,108.059,100.658,105.064,115.784,111.149,110.062,117.844,108.917,111.092,111.073,111.32,9.449,-1.347
103.71,102.108,103.1,107.887,108.269,109.089,111.13,113.686,113.934,114.849,105.675,108.173,106.953,111.359,2.449,7.694
100.601,107.353,104.111,115.154,94.326,107.048,115.917,111.454,108.116,113.743,105.446,106.361,110.901,111.53,5.577,2.792
110.424,110.596,99.323,123.413,106.705,105.56,109.203,107.83,108.25,112.675,104.74,111.111,110.195,109.108,0.885,10.803
102.489,121.868,116.623,105.331,100.563,105.98,109.928,105.56,105.923,112.122,105.808,110.195,108.459,108.479,-6.706,14.713
